Loan Amount,Funded Amount,Funded Amount Investor,Term,Interest Rate,Grade,Sub Grade,Employment Duration,Home Ownership,Verification Status,Loan Title,Debit to Income,Delinquency - two years,Inquires - six months,Open Account,Public Record,Revolving Balance,Revolving Utilities,Total Accounts,Initial List Status,Total Received Interest,Total Received Late Fee,Recoveries,Collection Recovery Fee,Collection 12 months Medical,Application Type,Last week Pay,Total Collection Amount,Total Current Balance,Total Revolving Credit Limit,Loan Status
10000,32236,12329.36286,59,11.13500686,0,0,0,176346.6267,0,0,16.28475781,1,0,13,0,24246,74.93255103,7,0,2929.646315,0.10205519800000001,2.498290962,0.79372376,0,0,49,31,311301,6619,0
3609,11940,12191.99692,59,12.23756263,1,1,1,39833.921,1,1,15.41240945,0,0,12,0,812,78.29718601,13,1,772.7693849999999,0.03618117,2.377214756,0.974821103,0,0,109,53,182610,20885,0
28276,9311,21603.22455,59,12.54588365,2,2,0,91506.69105,1,0,28.13761862,0,0,14,0,1843,2.073039873,20,0,863.3243956,18.77866007,4.3162773439999995,1.020074954,0,0,66,34,89801,26155,0
11170,6954,17877.15585,59,16.73120146,1,3,0,108286.5759,1,1,18.04373003,1,0,7,0,13819,67.46795121,12,0,288.173196,0.044131373,0.107020281,0.7499709929999999,0,0,39,40,9189,60214,0
16890,13226,13539.926669999999,59,15.00830022,1,2,0,44234.82545,1,2,17.20988604,1,3,13,1,1544,85.25076114,22,0,129.2395533,19.30664639,1294.818751,0.36895291799999996,0,0,18,430,126029,22579,0
34631,30203,8635.931612999999,36,17.24698602,0,4,1,98957.47561000001,0,2,7.914332762000001,3,2,16,0,2277,51.56447606,20,0,464.818124,0.08858434800000001,5.043575438,0.581687716,0,0,32,42,51252,27480,0
30844,19773,15777.511830000001,59,10.73143231,1,5,1,102391.8243,2,3,15.08391059,0,0,11,0,14501,46.80880397,37,0,525.7381086,0.08352828400000001,3.167937127,0.553076428,0,0,71,3388,42069,31068,0
20744,10609,7645.014802,58,13.99368786,3,6,2,61723.52014,0,1,29.82971503,0,0,14,0,13067,23.93662444,33,0,1350.2452119999998,0.044964815,0.098448003,0.047589103,0,0,87,48,184909,43303,0
9299,11238,13429.45661,59,11.17845658,4,7,0,63205.09072000001,2,2,26.24471043,0,0,6,0,549,15.94738599,17,0,4140.198978,0.01710584,0.5302135579999999,0.216985337,0,0,144,26,68126,7482,0
19232,8962,7004.097481,58,5.520412677,1,8,1,42015.465860000004,1,2,10.04854906,1,0,11,0,1361,35.07334484,30,1,2149.6669629999997,0.008337931,2.912214614,0.886864352,0,0,9,35,71650,14871,0
8640,6428,8169.779401000001,59,8.627336502999999,0,6,1,41858.88652,2,0,14.26647369,0,0,17,0,4005,61.27955642,46,1,107.8900429,0.04420826,3.502267497,0.769926275,0,0,34,26,141492,18025,0
16581,8767,10637.04903,59,9.535987839,3,2,0,39605.50605,1,4,32.5409807,1,0,10,2,8266,25.62485547,21,0,1276.258125,0.029185139,7.742979135,1.120056184,0,0,55,30,33296,11356,0
31238,11317,12595.097459999999,58,8.009151305,5,1,0,32108.74657,0,2,30.57773072,1,0,8,0,148,83.59974136,20,0,615.0105267000001,0.032341635,7.902346568,0.9157525990000001,0,0,120,5,259368,14163,0
34653,18985,4917.125714,58,10.59015342,2,9,0,60883.55632999999,1,5,11.16411216,0,0,11,0,19097,28.50511393,33,0,6344.628302,0.073004435,4.483083908999999,0.389227761,0,0,72,1572,304173,28826,0
31157,9885,31585.98335,59,9.016251987999999,1,10,2,83900.04312999999,0,0,29.23281108,0,0,10,0,542,46.39051225,12,1,3157.741904,0.024345894,6.603832364,1.605330334,0,0,83,58,207613,12827,0
27859,33502,16545.20307,36,14.84819001,0,11,2,68062.5995,1,2,17.71530168,0,0,9,0,5904,44.38899747,13,1,150.37666299999998,0.039969602,3.345746622,0.627521787,0,0,126,26,212092,15379,1
25721,25880,12038.60189,58,15.90468542,3,12,0,114223.9847,2,2,24.82525636,0,1,8,1,1232,86.01538182,19,1,1340.112263,0.041917396,5.86918474,0.301490787,0,0,128,23,42122,4280,0
16642,9400,10727.56492,58,11.18268567,0,11,0,67166.66525,0,2,19.15539315,0,0,14,0,1889,46.45458905,10,0,1363.056553,0.055918373,5.61049765,0.196200373,0,0,66,16,128988,15802,0
6373,12341,10452.66161,59,7.0310385239999995,5,13,2,330826.2143,0,0,8.080329016,0,0,12,0,6475,56.87128113,13,1,1494.989294,0.026837542000000002,1.7511902680000002,1.14841005,0,0,109,21,155822,17998,0
14058,26523,9622.342364,59,14.52337296,3,14,0,48423.25999,2,2,32.48889253,6,0,26,0,18181,46.83020379,16,1,1752.7990120000002,32.28935626,2.12352138,1.0560051000000001,0,0,76,47,151581,9818,1
19696,27563,10526.63644,58,16.11918422,1,6,1,370389.982,0,2,19.50948683,0,0,14,0,17247,44.41053737,16,0,466.2123279,0.031113177000000002,4.047034095,0.71652788,0,0,151,24,20466,55204,0
7466,9003,14189.43975,59,11.79687656,6,15,0,85812.99222999999,1,1,19.50666898,0,0,11,0,2328,94.32704679,19,1,9948.692383,0.008098257,0.18823811899999998,1.021255106,0,0,33,47,27916,29457,0
7020,9541,14929.71561,58,8.822586128,0,11,2,41441.45415,1,6,21.29708503,0,1,17,0,1277,56.28421413,30,1,578.1436677999999,0.017691202,0.138850976,0.431874995,0,0,34,1530,185500,4220,0
8892,26291,22450.582430000002,59,12.43565298,6,14,1,58649.769889999996,2,1,24.35380495,0,0,31,0,3087,60.04750317,17,0,13166.84295,0.067883424,0.02262096,1.307148125,0,0,97,17,286866,36970,0
21267,7841,21444.90757,59,14.48944627,1,12,1,69494.30472,0,1,25.70538405,0,1,14,0,3060,12.50556201,22,0,730.3392821,0.029297838,3.193105853,0.738897004,0,0,49,25,25487,6219,0
15330,21812,12374.39093,59,8.97109026,3,6,0,71528.43557,0,2,29.10877574,0,0,10,0,1553,27.85253293,14,1,551.7245056,0.013078999,1.931140801,0.676964957,0,0,88,430,34588,9411,1
15709,10343,15668.205080000002,59,12.27009699,6,16,0,172734.0546,1,1,11.09504677,0,0,28,1,3052,45.37728057,10,0,4655.823392,21.68584968,4.304436459,1.0645918220000001,0,0,103,16,56336,14619,0
8411,10655,10981.43838,59,13.63946728,3,14,1,48782.01673,2,1,34.54975175,0,0,19,0,5322,67.06807328,12,0,2844.4032190000003,0.040436861,3.782054045,0.49734047200000003,0,0,1,33,24036,5404,0
11637,7498,25491.53479,58,8.931048695,1,5,1,74145.40362000001,0,1,9.270047981,1,0,12,0,6491,10.87078329,22,0,954.7893514,0.092047454,3.212891963,0.578419727,0,0,77,43,132702,6783,0
14843,17071,16734.63267,59,12.18461614,1,6,1,28352.918680000002,1,2,13.33577737,1,0,14,0,4294,51.74027388,7,1,2346.581604,0.000307366,0.540940109,1.485242891,0,0,72,45,9982,11643,0
12610,29239,8194.527294,58,7.188306089,1,17,0,72002.33562,2,2,15.38484199,0,0,9,0,6153,56.34030515,9,0,2783.663504,0.063362526,2227.570429,0.450271574,0,0,2,23,253942,7961,0
30665,10765,20266.84145,59,5.755122233,0,18,1,33045.79131,2,2,18.66394443,1,0,15,0,1426,68.37335565,22,1,1238.05182,0.098743645,2.018699013,0.474552235,0,0,55,56,78057,9671,0
17767,21333,5424.2037,59,10.31526857,0,8,0,59966.83925,1,1,14.54081241,0,0,14,1,34696,28.76521167,9,0,535.8931546,0.013793703999999999,7.1195198479999995,1.156673566,0,0,69,1285,13213,23408,0
3406,12829,11484.27452,59,11.86673273,0,19,1,85401.67555,1,2,11.57201345,0,0,11,0,15015,65.26566852,16,0,52.72203033,0.026179086,3.2898929789999998,0.548262157,0,0,54,5,250832,14170,0
14429,20500,8733.240371,59,6.337292326,0,0,1,47963.58195,2,1,33.53538743,0,0,12,0,8090,87.46566919,25,1,1546.934724,0.009235702,1.1101457479999999,1.19504718,0,0,13,32,150772,15083,0
15257,6911,3801.2225200000003,59,16.94266503,1,5,0,84580.15874,2,6,22.14114582,0,0,9,0,925,51.49358221,20,0,2398.925206,0.028181935,6.718479961,1.150437817,0,0,72,63,155861,13098,0
12765,6060,26969.03849,59,11.92291396,3,18,0,64742.8733,1,1,26.56050424,1,0,17,0,12785,62.87924163,11,0,1030.829841,0.112937334,1.12664361,0.035602852000000004,0,0,3,38,57303,13906,0
13945,25903,22556.0292,59,16.06750016,3,14,1,47347.31763,2,0,23.75745399,1,0,11,1,15043,29.44747985,24,0,3000.5922960000003,0.065643399,5.671373009,0.946276765,0,0,16,26,436915,50694,0
34866,11591,26043.49702,58,13.51190167,5,14,1,294661.951,1,1,13.19551857,0,0,12,0,1384,51.6141997,23,1,4219.2322810000005,0.016011387,4.273266191,1.3561816009999998,0,0,32,36,345473,12965,0
17076,17783,10635.4437,59,11.42033667,1,7,1,66549.35527999999,0,2,22.10482406,0,0,8,0,20910,85.10060509,15,1,1001.794059,0.057313160999999994,427.2613946000001,0.34192984299999996,0,0,154,24,389775,30025,0
16156,15101,15337.76786,58,6.333258012000001,1,20,1,82649.72674,2,2,29.50042101,0,0,11,0,1559,69.51937324,10,1,3940.421071,0.02907535,0.331475151,0.574378831,0,0,67,31,145215,4187,0
14763,12923,19905.77535,59,20.09703077,0,2,1,129712.7712,1,2,26.53564905,0,2,12,0,2753,45.3806262,9,0,959.9872012,0.077263759,2.7388697189999998,0.558352938,0,0,82,45,75380,2527,0
11480,6287,13873.334680000002,59,8.721857148,3,13,1,118616.1118,0,2,37.98731901,0,0,7,0,3394,65.46295219,21,1,2094.721282,0.023595359,8.991077484,1.139066341,0,0,90,45,52369,68542,0
4710,24672,32097.003189999996,59,20.13858072,5,21,0,94712.76099,0,2,15.88712963,1,0,11,0,16224,59.21066888,9,0,536.7947004,0.017756641,0.07652397400000001,0.6870868809999999,0,0,28,56,109452,6544,0
31701,31200,23464.35525,59,9.912737068,5,8,1,73168.38098,2,2,19.88250301,0,0,9,0,4583,60.9593952,46,1,3178.229655,0.030437557999999997,0.9367245240000001,1.029249186,0,0,139,570,118218,33597,1
4130,13923,14998.4745,58,6.661512455,1,22,2,73857.27918,2,1,16.42138097,0,0,15,0,3111,65.58600452,18,1,686.0611142999999,0.035328996,1.672271705,1.407799445,0,0,139,26,321958,4368,0
28624,10900,11924.19513,59,12.22871591,0,18,0,51173.45461,2,2,23.65564632,0,0,13,0,3364,65.15205923,17,0,1422.7301029999999,0.012425561000000002,1.4357075609999999,0.7940751340000001,0,0,98,29,18810,9888,0
21447,9913,9138.181343,59,9.3831488,3,11,0,21419.38883,2,1,14.15561583,0,0,17,0,19586,75.65340199,28,1,1408.69119,0.028741541000000002,2.295979993,0.925390646,0,0,50,20,94148,13700,0
17046,7180,11628.41831,58,15.47317103,5,23,2,53655.2246,0,6,16.49837305,0,0,10,2,3258,79.96025426,21,0,1597.832979,0.051134352,3.4488115660000003,0.932915196,0,0,14,43,119262,19840,0
4959,8318,23011.48459,59,20.26498078,5,0,0,97501.23038,1,2,13.39118775,1,1,33,0,2285,92.27066159,15,0,256.79456919999996,0.050053203,5.301986252,1.197849663,0,0,16,43,96506,6036,0
9075,7554,7075.237426000001,59,16.63855458,0,13,0,286268.9866,2,1,37.7463114,0,0,15,0,11838,9.54549108,8,0,1220.150507,0.021867279,5.346615239,0.00603763,0,0,33,12,144115,12923,0
21486,9988,10121.644629999999,59,9.442609193,5,12,2,62947.39354,0,2,19.96481071,0,0,6,1,6956,38.49058696,11,1,883.7878891,0.016111939,1.000346882,1.4362497719999998,0,0,6,46,176315,22820,0
